Marke,Modell,Farbe,Erstzulassung,Jahr,Preis (Euro),Leistung (kW),Leistung (PS),Getriebe,Kraftstoff,Verbrauch (l/100 km),Verbrauch (g/km),Kilometerstand (km),Bemerkungen
alfa-romeo,Alfa Romeo Giulia,blau,09/2020,2020,28980,147,200,Automatik,Benzin,"5,1 l/100 km",134 g/km,15000.0,2.0 Turbo 16V EU6d-T Keyless Rückfahrkam. Panorama
alfa-romeo,Alfa Romeo Giulia,blau,06/2020,2020,38900,206,280,keine Angabe,Benzin,,- (g/km),32700.0,VELOCE AWD
alfa-romeo,Alfa Romeo Stelvio,blau,09/2020,2020,26950,140,190,Automatik,Diesel,,182 g/km,110000.0,2.2 Diesel 16V Super AT8 -Langstrecke-Scheckheft
alfa-romeo,Alfa Romeo Stelvio,blau,04/2020,2020,34870,147,200,Automatik,Benzin,7 l/100 km,161 g/km,29693.0,Super Q4 2.0 Turbo #NAVI#KLIMA#XENON#SHZ
alfa-romeo,Alfa Romeo Giulia,blau,12/2020,2020,42990,154,209,Automatik,Diesel,"5,2 l/100 km",138 g/km,26519.0,Veloce Q4 Allrad Automatik Komplettausstattung
alfa-romeo,Alfa Romeo Stelvio,blau,06/2020,2020,38500,206,280,Automatik,Benzin,"7,4 l/100 km",0 g/km,40458.0,Super 2.0 280PS//NAVI//Asisstenz-Paket
alfa-romeo,Alfa Romeo Giulia,blau,05/2020,2020,54900,206,280,Automatik,Benzin,"7,7 l/100 km",178 g/km,15000.0,"Veloce 2,0 Turbo 16V Q4 - MJ20 - AT8"
alfa-romeo,Alfa Romeo Giulia,blau,10/2020,2020,44500,206,280,Automatik,Benzin,7 l/100 km,- (g/km),45000.0,Giulia 2.0 Turbo 16V AT8-Q4 Veloce
alfa-romeo,Alfa Romeo Stelvio,blau,02/2020,2020,58490,206,280,Automatik,Benzin,7 l/100 km,161 g/km,36900.0,2.0 Turbo 16V Veloce Q4 +Navi/e-Sitze/ACC/Panorama
alfa-romeo,Alfa Romeo Stelvio,blau,11/2020,2020,28990,140,190,Automatik,Diesel,"5,6 l/100 km",145 g/km,121800.0,2.2 D Super AT8-Q4 - ASSISTS - 8 x ALU
alfa-romeo,Alfa Romeo Stelvio,blau,08/2020,2020,40890,154,209,Automatik,Diesel,"5,5 l/100 km",144 g/km,34990.0,2.2 Diesel 16V AT8 Q4 Veloce MY 20
alfa-romeo,Alfa Romeo Stelvio,blau,08/2020,2020,48900,206,280,Automatik,Benzin,"7,1 l/100 km",161 g/km,8500.0,Veloce Q4
alfa-romeo,Alfa Romeo Stelvio,blau,06/2020,2020,43860,206,280,Automatik,Benzin,"6,9 l/100 km",157 g/km,49700.0,2.0 Turbo Q4 Veloce
alfa-romeo,Alfa Romeo Stelvio,blau,05/2020,2020,36700,140,190,Automatik,Diesel,"5,7 l/100 km",150 g/km,73900.0,Sprint 2.2 Diesel AT8 Q4
alfa-romeo,Alfa Romeo Stelvio,blau,07/2020,2020,36400,140,190,Automatik,Diesel,"5,7 l/100 km",150 g/km,49875.0,Super Q4+TOP+
alfa-romeo,Alfa Romeo Giulietta,grau,12/2020,2020,22990,125,170,Automatik,Diesel,"5,5 l/100 km",145 g/km,52251.0,Lusso Ti 2.0 JTDM 16V Xenon Leder Navi
alfa-romeo,Alfa Romeo Stelvio,grau,05/2020,2020,34690,147,200,Automatik,Benzin,7 l/100 km,161 g/km,21300.0,2.0Turbo Q4 Super !!! PRE-SALE PREIS !!!
alfa-romeo,Alfa Romeo Stelvio,grau,10/2020,2020,37190,147,200,Automatik,Benzin,"7,1 l/100 km",161 g/km,42850.0,2.0 Turbo Super Q4 ACC+AHK+BI-Xenon+Navi+Kamera...
alfa-romeo,Alfa Romeo Stelvio,grau,05/2020,2020,34490,147,200,Automatik,Benzin,7 l/100 km,161 g/km,21300.0,2.0Turbo Q4 Super !!! PRE-SALE PREIS !!!
alfa-romeo,Alfa Romeo Stelvio,grau,02/2020,2020,60890,375,510,Automatik,Benzin,10 l/100 km,229 g/km,36150.0,Quadrifoglio V6 Bi-Turbo 2.9T 375KW (510PS) AT8-Q4
alfa-romeo,Alfa Romeo Giulia,grau,12/2020,2020,44700,154,209,Automatik,Diesel,,165 g/km,15373.0,2.2 Diesel AT8-Q4 Veloce
alfa-romeo,Alfa Romeo Giulia,grau,09/2020,2020,33950,206,280,Automatik,Benzin,,- (g/km),18291.0,2.0 Turbo VeloceTi/LED/KAMERA/SHZ/LHZ/R19
alfa-romeo,Alfa Romeo Stelvio,grau,07/2020,2020,34750,206,280,Automatik,Benzin,8 l/100 km,254 g/km,7580.0,2.0 Turbo 4WD Leder Kamera Panorama Aut Led
alfa-romeo,Alfa Romeo Stelvio,grau,06/2020,2020,36990,147,200,Automatik,Benzin,8 l/100 km,- (g/km),26600.0,"Stelvio 2.0 Turbo 16V AT8-Q4 *AHK / 20"" / Leder*"
alfa-romeo,Alfa Romeo Stelvio,grau,07/2020,2020,34990,147,200,Automatik,Benzin,7 l/100 km,160 g/km,42617.0,MY19 Super 2.0 Turbo Navi Klima Pano PDC
alfa-romeo,Alfa Romeo Stelvio,grau,09/2020,2020,39950,206,280,Automatik,Benzin,"7,2 l/100 km",165 g/km,58000.0,"2.0 Turbo Lusso Ti Pano Apple Leder 20"""
alfa-romeo,Alfa Romeo Stelvio,grau,02/2020,2020,39900,206,280,Automatik,Benzin,7 l/100 km,158 g/km,45400.0,MY20 VELOCE 2.0 Turbo 16V 206kW
alfa-romeo,Alfa Romeo Stelvio,grau,04/2020,2020,42900,206,280,Automatik,Benzin,"7,1 l/100 km",161 g/km,57599.0,Lusso Ti Q4 280PS
alfa-romeo,Alfa Romeo Giulia,grau,10/2020,2020,30000,100,136,Automatik,Diesel,5 l/100 km,131 g/km,11500.0,"2.2 Diesel 16V ATX Super,Navi,PDC,Xenon"
alfa-romeo,Alfa Romeo Giulia,grau,04/2020,2020,46590,206,280,Automatik,Benzin,,- (g/km),25690.0,"Veloce Q4 2.0 N.P. 57.990,-"
alfa-romeo,Alfa Romeo Stelvio,grau,10/2020,2020,36990,147,200,Automatik,Benzin,"7,1 l/100 km",161 g/km,42850.0,2.0 Turbo Super Q4 ACC+AHK+BI-Xenon+Navi+Kamera...
alfa-romeo,Alfa Romeo Stelvio,grün,12/2020,2020,49890,154,209,Automatik,Diesel,"5,8 l/100 km",144 g/km,25000.0,Veloce 2.2 16V AWD Diesel
alfa-romeo,Alfa Romeo Giulietta,grün,03/2020,2020,23990,125,170,Automatik,Diesel,"5,2 l/100 km",136 g/km,62403.0,Lusso Ti 2.0 JTDM 16V Xenon Navi Leder
alfa-romeo,Alfa Romeo Stelvio,rot,06/2020,2020,33780,147,200,Automatik,Benzin,"7,1 l/100 km",161 g/km,58457.0,"Super Q4  Assistenzpaket, Panoramadach, Winter"
alfa-romeo,Alfa Romeo Stelvio,rot,06/2020,2020,51900,206,280,Automatik,Benzin,"6,9 l/100 km",157 g/km,23900.0,2.0 Turbo 16V AT8-Q4 Veloce 280PS
alfa-romeo,Alfa Romeo Stelvio,rot,03/2020,2020,27450,118,160,Automatik,Diesel,"5,4 l/100 km",142 g/km,38000.0,2.2d Aut. Busin NAVI+KAMERA+MEMO+ACC+AHK
alfa-romeo,Alfa Romeo Stelvio,rot,12/2020,2020,69390,375,510,keine Angabe,Benzin,"9,8 l/100 km",222 g/km,22500.0,Quadrifoglio V6 510PS AT8-Q4 MY20
alfa-romeo,Alfa Romeo Stelvio,rot,11/2020,2020,67490,375,510,Automatik,Benzin,"9,2 l/100 km",214 g/km,18750.0,Quadrifoglio V6 Aut./S-DACH/20Z/ACC/H&K
alfa-romeo,Alfa Romeo Stelvio,rot,04/2020,2020,65000,375,510,Automatik,Benzin,"9,8 l/100 km",227 g/km,14177.0,Quadrifoglio Q4
alfa-romeo,Alfa Romeo Giulia,rot,05/2020,2020,39950,206,280,Automatik,Benzin,7 l/100 km,160 g/km,24000.0,2.0 Turbo 16V AT8-Q4 Veloce
alfa-romeo,Alfa Romeo Stelvio,rot,10/2020,2020,39450,147,200,Automatik,Benzin,"9,2 l/100 km",207 g/km,15500.0,MY20 SUPER 2.0 Turbo 16V 147kW A
alfa-romeo,Alfa Romeo Stelvio,rot,02/2020,2020,26990,118,160,Automatik,Diesel,,0 g/km,69700.0,SUPER 2.2JTDM AUTOMATIK*+SPORT+AHK+NAVI*
alfa-romeo,Alfa Romeo Stelvio,rot,08/2020,2020,28980,148,201,Automatik,Benzin,- (l/100 km),211 g/km,44964.0,2.0 Turbo Navi Panorama Xenon Kamera
alfa-romeo,Alfa Romeo Giulia,rot,10/2020,2020,28990,147,200,Automatik,Benzin,"6,4 l/100 km",149 g/km,43899.0,2.0T AT8 Super Kamera Leder AppleCarplay
alfa-romeo,Alfa Romeo Stelvio,rot,10/2020,2020,35490,147,200,Automatik,Benzin,7 l/100 km,161 g/km,48999.0,Business Q4 2.0 Turbo dyn. Xenon Leder
alfa-romeo,Alfa Romeo Giulia,rot,11/2020,2020,31900,140,190,Automatik,Diesel,"6,4 l/100 km",149 g/km,73000.0,Business NAVI/TOTWINKEL/XENON/18''/KAMERA
alfa-romeo,Alfa Romeo Stelvio,rot,01/2020,2020,44800,154,209,Automatik,Diesel,,0 g/km,34150.0,Lusso 2.2 *GSD*AHK*Navi*8fach
alfa-romeo,Alfa Romeo Stelvio,rot,01/2020,2020,36980,154,209,Automatik,Diesel,"5,9 l/100 km",155 g/km,88108.0,B-Tech Q4 Klima Xenon Leder Rückfahrkamera
alfa-romeo,Alfa Romeo Stelvio,rot,01/2020,2020,33990,140,190,Automatik,Diesel,,- (g/km),54518.0,2.2 Super AT8 Q4*SHZ*BI-XEN*NAV*1HAND*
alfa-romeo,Alfa Romeo Stelvio,rot,09/2020,2020,32900,140,190,Automatik,Diesel,"5,5 l/100 km",144 g/km,61670.0,2.2 Diesel 140kW Q4 Facelift  Apple AHK
alfa-romeo,Alfa Romeo Giulia,rot,09/2020,2020,40000,206,280,Automatik,Benzin,7 l/100 km,- (g/km),30000.0,2.0 Turbo 16V AT8-Q4 Veloce
alfa-romeo,Alfa Romeo Giulia,schwarz,12/2020,2020,64780,375,510,Automatik,Benzin,"9,3 l/100 km",211 g/km,19700.0,2.9 V6 Bi-Turbo Quadrifoglio HarmanKardon Klima
alfa-romeo,Alfa Romeo Giulia,schwarz,12/2020,2020,47490,154,209,Automatik,Diesel,"5,2 l/100 km",138 g/km,1000.0,Veloce 2.2D Q4 AT8|Assistenzp.2|Navi|Harm
alfa-romeo,Alfa Romeo Giulietta,schwarz,04/2020,2020,20950,125,170,Automatik,Diesel,"5,2 l/100 km",136 g/km,80199.0,Lusso 2.0 JTDM 20V 125kW TCT
alfa-romeo,Alfa Romeo Stelvio,schwarz,07/2020,2020,35750,147,200,Automatik,Benzin,8 l/100 km,185 g/km,37393.0,Super Q4
alfa-romeo,Alfa Romeo Stelvio,schwarz,10/2020,2020,46990,154,209,Automatik,Diesel,"5,7 l/100 km",150 g/km,37400.0,2.2 Diesel 16V Q4 Veloce
alfa-romeo,Alfa Romeo Giulietta,schwarz,09/2020,2020,25890,88,120,Schaltgetriebe,Benzin,"7,4 l/100 km",170 g/km,36500.0,1.4 TB 16V~SPRINT~18'~SPORT
alfa-romeo,Alfa Romeo Stelvio,schwarz,10/2020,2020,67490,375,510,Automatik,Benzin,"9,8 l/100 km",227 g/km,10633.0,2.9 V6 Quadrifoglio ACC HARMAN KARDON
alfa-romeo,Alfa Romeo Giulietta,schwarz,12/2020,2020,22900,125,170,Automatik,Diesel,"5,2 l/100 km",136 g/km,74000.0,Speciale TCT
alfa-romeo,Alfa Romeo Stelvio,schwarz,01/2020,2020,37500,154,209,Automatik,Diesel,"5,2 l/100 km",134 g/km,33548.0,Super 2.2//NAVI//PANO
alfa-romeo,Alfa Romeo Stelvio,schwarz,09/2020,2020,66990,375,510,Automatik,Benzin,10 l/100 km,- (g/km),35000.0,V6 2.9 Bi-Turbo AT8-Q4 Quadrifoglio
alfa-romeo,Alfa Romeo Giulia,schwarz,04/2020,2020,26990,147,200,Automatik,Benzin,"6,4 l/100 km",149 g/km,99573.0,Super
alfa-romeo,Alfa Romeo Giulia,schwarz,12/2020,2020,43990,154,209,Automatik,Diesel,"5,2 l/100 km",138 g/km,29500.0,Giulia Veloce Q4 | Vollausstattug | 4x4 | AHK
alfa-romeo,Alfa Romeo Giulia,schwarz,04/2020,2020,33500,148,201,Automatik,Benzin,"7,1 l/100 km",164 g/km,27355.0,Super 2.0 Turbo 16V AT8 Navi-Xenon-AHK-Kamera
alfa-romeo,Alfa Romeo Stelvio,schwarz,10/2020,2020,38990,140,190,Automatik,Diesel,"5,2 l/100 km",138 g/km,65151.0,2.2 SUPER Q4 Navi Xenon Hifi Rfk Q4 Navi Xenon Hif
alfa-romeo,Alfa Romeo Stelvio,schwarz,09/2020,2020,37970,147,200,Automatik,Benzin,"7,1 l/100 km",161 g/km,10182.0,Super Q4*NAVI*XENON*DAB*KAMERA*8-FACH-ALU*
alfa-romeo,Alfa Romeo Stelvio,schwarz,02/2020,2020,64900,375,510,Automatik,Benzin,"9,8 l/100 km",261 g/km,46100.0,Quadrifoglio Q4 1.H+HARMAN&KAD+CARBON
alfa-romeo,Alfa Romeo Giulia,schwarz,10/2020,2020,48399,154,209,Automatik,Diesel,"5,1 l/100 km",134 g/km,22000.0,2.2 Diesel AT8-Q4 Veloce
alfa-romeo,Alfa Romeo Stelvio,schwarz,05/2020,2020,39990,148,201,Automatik,Benzin,7 l/100 km,161 g/km,17101.0,Super 2.0 Turbo 16V 200PS AT-8 Klima Xenon Leder
alfa-romeo,Alfa Romeo Giulia,silber,03/2020,2020,27990,147,200,Automatik,Benzin,"6,8 l/100 km",157 g/km,22400.0,Super 2.0 Turbo 16V 147 KW
alfa-romeo,Alfa Romeo Giulia,silber,03/2020,2020,28900,147,200,Automatik,Benzin,,- (g/km),34508.0,Giulia 2.0 Turbo 16V AT8 Super
alfa-romeo,Alfa Romeo Giulia,silber,10/2020,2020,33000,147,200,Automatik,Benzin,,- (g/km),48600.0,Giulia 2.0 Turbo 16V AT8 Sprint
alfa-romeo,Alfa Romeo Stelvio,silber,09/2020,2020,38850,147,200,Automatik,Benzin,"7,5 l/100 km",- (g/km),39700.0,2.0 Turbo 16V AT8-Q4 Super VB
alfa-romeo,Alfa Romeo Stelvio,silber,09/2020,2020,47990,154,209,Automatik,Diesel,,182 g/km,46990.0,2.2 Diesel 16V AT8 Q4 Veloce
alfa-romeo,Alfa Romeo Stelvio,violett,10/2020,2020,34900,206,280,Automatik,Benzin,"7,2 l/100 km",165 g/km,18905.0,2.0 Turbo 16V AT8-Q4  Ti
alfa-romeo,Alfa Romeo Giulia,weiß,08/2020,2020,64700,375,510,Automatik,Benzin,12 l/100 km,243 g/km,6340.0,2.9 V6 Bi-Turbo AT8 Quadrifoglio
alfa-romeo,Alfa Romeo Giulia,weiß,02/2020,2020,35990,147,200,Automatik,Benzin,7 l/100 km,158 g/km,48499.0,2.0T Veloce Pano Leder Kamera Brembo AHK
alfa-romeo,Alfa Romeo Stelvio,weiß,11/2020,2020,41999,154,209,keine Angabe,Diesel,"5,7 l/100 km",150 g/km,37000.0,Veloce Q4 Aut. ACC~KAMERA~NAVI~LEDER~AHK
alfa-romeo,Alfa Romeo Stelvio,weiß,04/2020,2020,58990,375,510,Automatik,Benzin,"9,8 l/100 km",227 g/km,48896.0,Quadrifoglio Q4*ACC*Pano*Assistenz*H&K*
alfa-romeo,Alfa Romeo Stelvio,weiß,03/2020,2020,41950,154,209,Automatik,Diesel,,175 g/km,39427.0,B-Tech/Veloce 2.2 Diesel  *Pano*Hifi*AHK
alfa-romeo,Alfa Romeo Stelvio,weiß,08/2020,2020,28450,140,190,Automatik,Diesel,"6,5 l/100 km",171 g/km,115000.0,Business Q4 2.2 JTDM ACC 2xSpur RCam AHK
alfa-romeo,Alfa Romeo Stelvio,weiß,12/2020,2020,43490,154,209,Automatik,Diesel,"5,7 l/100 km",150 g/km,30500.0,Veloce Q4 XENON ACC NAVI SHZ CARPLAY
alfa-romeo,Alfa Romeo Stelvio,weiß,06/2020,2020,38890,206,280,Automatik,Benzin,8 l/100 km,186 g/km,23800.0,"2.0 Turbo Q4 ""Lusso""NAVI 20"" XEN Kamera"
alfa-romeo,Alfa Romeo Stelvio,weiß,12/2020,2020,41890,154,209,Automatik,Diesel,"5,5 l/100 km",144 g/km,56996.0,2.2 Diesel 16V 154kW Lusso Ti AT8-Q4
alfa-romeo,Alfa Romeo Stelvio,weiß,08/2020,2020,36900,140,190,Automatik,Diesel,"5,7 l/100 km",167 g/km,67805.0,2.2 JTDM Business Q4/NAVI/DAB/Apple/SHZ
alfa-romeo,Alfa Romeo Stelvio,weiß,06/2020,2020,38990,206,280,Automatik,Benzin,,0 g/km,30316.0,Super 2.0Turbo 16V 280PS
alfa-romeo,Alfa Romeo Giulietta,weiß,12/2020,2020,23900,88,120,Automatik,Diesel,"4,9 l/100 km",130 g/km,43900.0,1.6 JTDm TCT Sprint Xen Panora Kamera
alfa-romeo,Alfa Romeo Stelvio,weiß,04/2020,2020,37900,154,209,Automatik,Diesel,"5,7 l/100 km",150 g/km,70100.0,"Veloce Q4 2.2 JTDM EU6d-T,Bi-Xenon, Leder"
aston-martin,Aston Martin V8,grau,01/2020,2020,135007,375,510,Automatik,Benzin,"10,3 l/100 km",236 g/km,28229.0,Coupé - Aston Martin Hamburg
aston-martin,Aston Martin DBX,grau,11/2020,2020,172888,405,551,Automatik,Benzin,"16,9 l/100 km",269 g/km,42000.0,4.0 V8 1.Hand/360°/Belüft/Lederhimmel/Carbon
aston-martin,Aston Martin DB11,grau,03/2020,2020,154900,375,510,Automatik,Benzin,"9,9 l/100 km",230 g/km,23400.0,V8 Coupe
aston-martin,Aston Martin DB11,grau,04/2020,2020,159900,375,510,Automatik,Benzin,"11,2 l/100 km",257 g/km,17900.0,4.0 V8 Aston Martin Memmingen
aston-martin,Aston Martin V8,grau,04/2020,2020,134900,375,510,Automatik,Benzin,"10,3 l/100 km",236 g/km,20500.0,4.0 V8 / Carbon Brakes/AM Memmingen
aston-martin,Aston Martin V8,grau,02/2020,2020,139900,375,510,Automatik,Benzin,"10,3 l/100 km",236 g/km,30500.0,AMR
aston-martin,Aston Martin Rapide,grün,03/2020,2020,185007,444,604,Automatik,Benzin,"13,2 l/100 km",305 g/km,6990.0,AMR Signature Pack
aston-martin,Aston Martin DBX,grün,11/2020,2020,179000,405,551,Automatik,Benzin,7 l/100 km,269 g/km,22500.0,4.0 V8 1/500 Pano+Memory+LED
aston-martin,Aston Martin DBS,schwarz,07/2020,2020,279900,533,725,Automatik,Benzin,"12,4 l/100 km",285 g/km,22500.0,"Superleggera Coupe  5.2 V12, Full Options"
aston-martin,Aston Martin V8,schwarz,11/2020,2020,139007,375,510,Automatik,Benzin,"10,5 l/100 km",236 g/km,8400.0,Vantage
aston-martin,Aston Martin DB11,schwarz,05/2020,2020,179900,375,510,Automatik,Benzin,"13,5 l/100 km",306 g/km,11500.0,V8 Volante B&O 1.000 Watt
aston-martin,Aston Martin DBX,schwarz,08/2020,2020,147270,405,551,Automatik,Benzin,"14,3 l/100 km",269 g/km,17500.0,V8
aston-martin,Aston Martin DBS,silber,06/2020,2020,269900,533,725,Automatik,Benzin,"12,4 l/100 km",285 g/km,15900.0,"5.2 V12 Superleggera,Q-Special,Carbon,2+2"
aston-martin,Aston Martin V8,silber,03/2020,2020,179900,375,510,Automatik,Benzin,"11,6 l/100 km",263 g/km,9360.0,"DB11  Volante Magnetic Silver, Technology Pack"
aston-martin,Aston Martin V8,weiß,07/2020,2020,159989,375,510,Automatik,Benzin,"10,3 l/100 km",236 g/km,25.0,4.0 V8
aston-martin,Aston Martin DBX,weiß,11/2020,2020,174900,405,551,Automatik,Benzin,"11,8 l/100 km",269 g/km,25568.0,1913 *1 of 500* Limited Edition
audi,Audi A6 allroad,beige,03/2020,2020,49890,210,286,Automatik,Diesel,"7,5 l/100 km",197 g/km,91641.0,A6 allroad 50 TDI quattro Navi Matrix Alu DVD AH
audi,Audi A6,beige,06/2020,2020,36846,120,163,Automatik,Diesel,,- (g/km),36650.0,"Lim Design 35 TDI S tronic Leder,Kamera,Navi,LED"
audi,Audi A6,beige,02/2020,2020,48980,210,286,Automatik,Diesel,"5,9 l/100 km",194 g/km,32250.0,Avant 50 TDI quattro tiptronic Sport
audi,Audi e-tron,beige,02/2020,2020,49888,300,408,Automatik,Elektro,,0 g/km,76602.0,55 quattro advanced *HUD*360°-KAMERA*ACC*
audi,Audi A6,beige,04/2020,2020,54900,210,286,Automatik,Diesel,"5,8 l/100 km",151 g/km,62100.0,Avant Sport 50TDI Quat Tiptronic Luftfederung
audi,Audi e-tron,beige,01/2020,2020,55920,300,408,Automatik,Elektro,,0 g/km,36600.0,55 quattro advanced HUD AUR PANO 360°K
audi,Audi A3,beige,12/2020,2020,37990,110,150,Schaltgetriebe,Benzin,"4,8 l/100 km",114 g/km,33128.0,Limousine advanced 35 TFSI Nav/ACC/sound/PhoneBox
audi,Audi A6,beige,04/2020,2020,59980,150,204,Automatik,Diesel,"4,9 l/100 km",118 g/km,53220.0,"40 TDI Qu. S Line Virtual Matrix Kameras 19"""
audi,Audi A6,beige,10/2020,2020,38490,270,367,Automatik,Hybrid,"1,9 l/100 km",43 g/km,26070.0,55 TFSI e quattro sport AKTIVSITZE PANO
audi,Audi A6,beige,03/2020,2020,38490,180,245,Automatik,Benzin,"6,5 l/100 km",177 g/km,47000.0,45 TFSI quattro S line Navi/ACC/Matrix/Lane/S
audi,Audi A6,beige,08/2020,2020,38990,150,204,Automatik,Diesel,"4,4 l/100 km",156 g/km,46000.0,40 TDI quattro S line Navi/ACC/Kamera/Virtual
audi,Audi A6,beige,08/2020,2020,36990,150,204,Automatik,Diesel,"4,4 l/100 km",156 g/km,48000.0,Avant 40 TDI quattro S line Navi/ACC/Kamera/V
audi,Audi A6,beige,03/2020,2020,34930,150,204,Automatik,Diesel,"4,4 l/100 km",156 g/km,82000.0,40 TDI quattro S line Navi/ACC/Kamera/Vi/Matr
audi,Audi A6,beige,04/2020,2020,59623,150,204,Automatik,Diesel,"4,5 l/100 km",152 g/km,61621.0,40 TDI sport *LED*Tour*AHK*
audi,Audi e-tron,beige,06/2020,2020,40939,300,408,Automatik,Elektro,,0 g/km,38604.0,55 quattro advanced Allrad HUD AD TV Navi Leder di
audi,Audi A6,beige,06/2020,2020,46980,210,286,Automatik,Diesel,"7,4 l/100 km",193 g/km,73805.0,Avant 50 TDI quattro sport LED NAVI AHK GRA
audi,Audi A6 allroad,beige,04/2020,2020,59990,170,231,Automatik,Diesel,,- (g/km),42901.0,quattro 45 TDI NAVI AHK ACC LED
audi,Audi A7,beige,02/2020,2020,53750,210,286,Automatik,Diesel,"5,8 l/100 km",150 g/km,40516.0,50 TDI quattro
audi,Audi A7,beige,02/2020,2020,38690,185,252,Automatik,Hybrid,,52 km Reichweite,75500.0,50 TFSIe quattro S tronic S line  L
audi,Audi A3,blau,06/2020,2020,27930,110,150,Schaltgetriebe,Benzin,"4,9 l/100 km",113 g/km,43105.0,Sportback 1.5 TFSI S line
audi,Audi A6,blau,01/2020,2020,46499,210,286,Automatik,Diesel,"5,8 l/100 km",150 g/km,53000.0,Lim. 50 TDI quattroAUTOMATIK  VOLL-LED LEDER
audi,Audi A5,blau,10/2020,2020,39950,150,204,Automatik,Benzin,"6,7 l/100 km",152 g/km,9500.0,"40 TFSI *2x S line*LED*VIRTUAL*AHK*19""*"
audi,Audi e-tron,blau,09/2020,2020,51840,300,408,Automatik,Elektro,,0 g/km,28334.0,55 quattro Automatik
audi,Audi A3,blau,11/2020,2020,28250,110,150,Schaltgetriebe,Benzin,6 l/100 km,137 g/km,3201.0,Sportback 35 TFSI Advanced NAVI LEDER LM
audi,Audi e-tron,blau,03/2020,2020,49880,300,408,Automatik,Elektro,,371 km Reichweite,50500.0,"advanced 55 qua S line *LUFT*PANO*NAV*21"""
audi,Audi Q5,blau,02/2020,2020,44900,270,367,Automatik,Hybrid,,45 km Reichweite,21600.0,55 TFSI e qu.S tr. PANO NAVI RFK LED VIRTUAL
audi,Audi e-tron,blau,03/2020,2020,45989,230,313,Automatik,Elektro,,276 km Reichweite,43417.0,50 quattro KLIMA NAVI TEMP. EINPARKH.
audi,Audi A4,blau,10/2020,2020,40690,195,265,Automatik,Benzin,7 l/100 km,161 g/km,6100.0,45 TFSI quattro S-tronic S line HeadUp/
audi,Audi e-tron,blau,03/2020,2020,41950,230,313,Automatik,Elektro,,276 km Reichweite,50374.0,50 quattro NAVI
audi,Audi A6,blau,10/2020,2020,48890,270,367,Automatik,Hybrid,"1,9 l/100 km",43 g/km,42000.0,"55 TFSI e q. S-Tronic Sport, HD Mat"
audi,Audi A3,blau,07/2020,2020,27550,150,204,Automatik,Hybrid,"1,6 l/100 km",38 g/km,17280.0,Sportback design 40 e-tron AHK KAMERA
audi,Audi A6,blau,12/2020,2020,46890,220,299,Automatik,Hybrid,"1,6 l/100 km",36 g/km,35500.0,sport 50 TFSI e quattro S line tour
audi,Audi A4,blau,08/2020,2020,26490,140,190,Automatik,Diesel,"4,6 l/100 km",120 g/km,60250.0,Avant 40 TDI S tronic
audi,Audi e-tron,blau,01/2020,2020,48845,300,408,Automatik,Elektro,,45 km Reichweite,67950.0,"55 LED,Navi,HUD,Kamera,B&O,Nachtradar"
audi,Audi A6,blau,04/2020,2020,54990,250,340,Automatik,Benzin,"8,8 l/100 km",199 g/km,49677.0,55TFSI quattro S tronic S line Pano
audi,Audi Q5,blau,06/2020,2020,50690,170,231,Automatik,Diesel,"6,2 l/100 km",163 g/km,23434.0,45 TDI quattro Tiptronic S-Line
audi,Audi e-tron,blau,02/2020,2020,56940,300,408,Automatik,Elektro,,0 g/km,69100.0,55 quattro S line AHK ACC Matrix RüKa HuD Nachtrad
audi,Audi S5,blau,02/2020,2020,56500,260,354,Automatik,Benzin,,- (g/km),25000.0,Cabrio TFSI quattro tiptronic
audi,Audi A3,blau,11/2020,2020,30685,135,184,Automatik,Diesel,"5,3 l/100 km",138 g/km,55200.0,40 TDI quattro design LED*ACC*AHK*V
audi,Audi A4,blau,07/2020,2020,37850,210,286,Automatik,Diesel,"6,1 l/100 km",160 g/km,51900.0,Avant 50 TDI quattro/S-Line/Panorama/450€mtl
audi,Audi e-tron,blau,11/2020,2020,69900,370,503,Automatik,Elektro,,344 km Reichweite,16800.0,S (Garantie 11/2025.LED.Valcona.Navi.B&O.SHZ) 370
audi,Audi A4,blau,08/2020,2020,33790,140,190,Automatik,Diesel,"5,3 l/100 km",0 g/km,49543.0,40 TDI quattro advanced LEDER*MATRIX*AHK*ACC
audi,Audi A5,blau,04/2020,2020,29888,140,190,Automatik,Benzin,"6,6 l/100 km",151 g/km,53300.0,Coupe 40 TFSI advanced LED KAMERA 18Z.
audi,Audi A6,blau,01/2020,2020,36990,180,245,Automatik,Benzin,"7,4 l/100 km",168 g/km,60800.0,45TFSI S-Trc S-line ACC Cam B&O Matrix
audi,Audi A1,blau,10/2020,2020,27340,147,200,Automatik,Benzin,"7,1 l/100 km",160 g/km,26800.0,Sportback S line 40 TFSI S tronic Black Navi PDC G
audi,Audi Q7,blau,07/2020,2020,68999,250,340,Automatik,Benzin,"8,6 l/100 km",212 g/km,20000.0,"55 3.0TFSI V6 quattro S-Line Leder 7-Sitz Pano 22"""
audi,Audi A3,blau,03/2020,2020,31850,140,190,Automatik,Benzin,"7,4 l/100 km",167 g/km,32065.0,40 TFSI quattro S tronic sport S li
audi,Audi A5,blau,11/2020,2020,37950,150,204,Automatik,Diesel,"5,1 l/100 km",134 g/km,30129.0,Sportback 40 TDI quattro S line Matrix LED
